Project_ID,Area_sqft,Floors,Material_Quality,Location_Type,Labor_Cost_per_sqft,Material_Cost_per_sqft,Design_Complexity,Duration_months,Total_Cost
C0068,6939,5,High,Suburban,166,398,5,22,6444835.71
C0069,8392,3,High,Suburban,212,494,4,19,9099598.29
C0070,7363,4,Low,Urban,160,496,5,7,6288709.1
C0071,8416,5,Medium,Suburban,213,486,2,8,6748023.97
C0072,9029,5,Medium,Suburban,188,443,5,19,7747151.97
C0073,1378,3,High,Rural,279,420,10,12,1225106.44
C0074,9768,3,Low,Urban,264,355,8,13,9005967.51
C0075,5387,2,High,Rural,194,435,9,15,4542122.25
C0076,5359,4,Medium,Suburban,237,218,7,12,3520527.48
C0077,6831,4,Low,Urban,229,414,7,16,6217207.87
C0078,9071,3,Medium,Suburban,158,313,6,15,5613221.2
C0079,9184,5,Medium,Urban,254,399,2,6,8659495.67
C0080,7708,3,Medium,Rural,274,224,10,22,4873412.34
C0081,5776,5,Low,Rural,227,320,10,19,3578835.59
C0082,2562,5,Low,Urban,194,429,9,20,2385237.41
C0083,564,3,High,Urban,257,298,5,13,502023.08
C0084,8506,1,Low,Urban,299,202,6,12,6235705.4
C0085,3068,4,Medium,Urban,248,460,1,23,2880455.79
C0086,5963,5,Medium,Urban,176,453,5,20,5878527.12
C0087,2527,5,Medium,Urban,189,219,6,21,1633332.54
C0088,3195,1,High,Suburban,175,403,10,11,2818133.42
C0089,5758,2,Medium,Urban,232,493,2,7,6265244.98
C0090,6118,1,High,Rural,175,327,7,3,4329864.27
C0091,7236,1,Medium,Rural,219,491,4,7,5609693.4
C0092,891,5,Low,Suburban,216,373,5,5,670962.15
C0093,6392,4,Low,Rural,155,420,3,3,3810461.71
C0094,4061,1,Medium,Urban,177,236,5,21,2201508.83
C0095,6684,2,Medium,Urban,162,348,4,8,5277561.85
C0096,3599,3,High,Suburban,212,291,10,12,3063078.33
C0097,6778,1,Medium,Suburban,162,269,6,7,4219039.97
C0098,8892,1,Medium,Suburban,278,283,2,14,6328543.8
C0099,3604,2,Low,Rural,189,404,3,14,2051317.92
C0100,7715,4,Medium,Rural,180,466,10,19,6391591.35
C0101,2954,1,Medium,Suburban,166,287,1,4,1654027.63
C0102,9496,1,Medium,Suburban,286,451,7,23,9599334.68
C0103,3231,4,Medium,Urban,258,410,9,16,3434521.95
C0104,8654,2,Low,Urban,213,230,2,14,4802254.62
C0105,5556,1,Medium,Suburban,206,260,7,15,3533032.88
C0106,8610,4,High,Suburban,290,266,3,7,6531470.4
C0107,4340,1,Medium,Suburban,291,425,5,7,4051132.27
C0108,1528,3,Medium,Urban,174,266,6,19,950630.41
C0109,7885,5,High,Suburban,271,327,8,7,7371075.04
C0110,1002,3,Medium,Urban,227,310,4,21,781370.24
C0111,7410,1,Medium,Suburban,206,471,2,6,6450284.66
C0112,9562,2,Low,Urban,220,233,3,9,5221793.98
C0113,7438,5,Medium,Urban,237,411,8,19,6766795.48
C0114,4988,3,Low,Urban,262,499,7,13,5446608.06
C0115,706,4,High,Urban,249,324,6,8,683507.3
C0116,5634,2,High,Rural,196,302,5,15,3431887.45
C0117,6477,3,High,Urban,265,405,5,14,6629880.25
C0118,8221,4,High,Urban,280,319,1,7,7405710.09
C0119,7535,1,Medium,Suburban,239,369,6,12,6603632.29
C0120,1984,4,Medium,Suburban,260,234,9,13,1422172.96
C0121,8358,3,High,Urban,239,445,8,11,9133614.74
C0122,1363,3,High,Urban,278,257,10,15,1268538.91
C0123,3290,1,Medium,Rural,288,340,1,5,2286576.69
C0124,7908,4,High,Suburban,284,310,6,19,7298314.8
C0125,9255,4,Medium,Urban,161,362,3,20,6483306.27
C0126,5616,1,Medium,Suburban,255,310,6,7,4655674.87
C0127,6519,4,Medium,Urban,271,351,9,18,6108627.59
C0128,2257,1,Medium,Urban,202,264,6,18,1626422.67
C0129,8074,2,Low,Suburban,249,305,8,13,5304842.08
C0130,6874,3,Medium,Rural,186,415,6,6,4266052.32
C0131,7392,2,Medium,Urban,268,290,6,11,6172788.4
C0132,2178,5,Medium,Rural,208,225,7,17,1008969.33
C0133,3742,5,Medium,Urban,203,356,10,14,3014729.87
C0134,5136,5,High,Urban,295,271,4,18,5110971.95
C0135,1559,1,Medium,Urban,150,243,8,6,854836.98
C0136,7168,4,Medium,Urban,298,289,4,5,6259232.27
C0137,3657,2,Low,Rural,177,332,7,23,1846016.68
C0138,6415,2,Low,Suburban,261,360,1,6,4857258.11
C0139,3193,2,High,Urban,165,431,9,4,3695799.4
C0140,4127,2,Medium,Rural,177,460,10,21,3020337.65
C0141,5950,5,High,Rural,299,310,9,9,4897912.17
C0142,2163,2,Low,Suburban,261,363,7,4,1784946.31
C0143,6092,4,Medium,Rural,278,276,8,3,3583894.24
C0144,7892,5,Medium,Urban,265,408,2,20,7596828.23
C0145,1806,2,Medium,Rural,247,212,10,10,1064801.79
C0146,7276,1,Low,Suburban,219,257,10,10,4277701.15
C0147,6364,3,Low,Rural,241,235,7,12,3318568.74
C0148,9974,3,Medium,Suburban,152,224,1,20,4272688.56
C0149,8026,3,Low,Urban,230,233,3,13,4791370.03
C0150,9401,5,High,Suburban,193,339,6,3,7454605.43
C0151,6075,2,Medium,Urban,173,474,5,9,5674838.09
C0152,6030,5,Low,Urban,297,421,5,10,5487115.67
C0153,4913,4,Low,Urban,248,236,9,16,3205837.73
C0154,4248,1,Medium,Rural,290,328,6,21,3052443.14
C0155,1163,1,Low,Urban,261,417,3,10,947446.88
C0156,2498,3,High,Suburban,297,447,2,21,2608990.54
C0157,8494,3,High,Urban,272,310,9,6,8355483.64
C0158,1995,3,Medium,Rural,261,419,10,12,1527395.53
C0159,3804,2,Medium,Urban,279,395,4,12,3747999.69
C0160,4263,4,Low,Suburban,217,346,5,6,2640060.84
C0161,5732,4,Medium,Rural,240,239,9,10,3392767.85
C0162,2353,4,Medium,Suburban,209,333,5,9,1713154.99
C0163,7085,4,Medium,Urban,281,390,7,17,7623791.68
C0164,1791,3,Medium,Suburban,273,362,2,10,1349015.47
C0165,4081,1,Medium,Rural,245,260,2,12,2210775.85
C0166,8054,3,Medium,Suburban,294,204,4,9,5158182.76
C0167,7780,4,Low,Urban,278,236,8,21,5095352.79
C0168,2136,3,Medium,Rural,182,416,2,5,1381545.11
C0169,4196,4,Medium,Urban,179,424,10,11,4217977.53
C0170,1198,5,High,Suburban,154,415,7,18,1019549.88
C0171,5237,1,Low,Rural,267,338,1,16,3150597.84
C0172,1354,5,High,Urban,289,305,9,9,1498724.34
C0173,8664,2,Medium,Suburban,187,298,10,14,5865553.43
C0174,6355,3,Low,Suburban,166,367,6,3,3955306.65
C0175,7892,2,Medium,Rural,258,463,1,18,5677047.47
C0176,7028,3,Medium,Urban,189,286,10,5,5068727.21
C0177,5749,5,High,Suburban,289,283,6,3,4777569.93
C0178,5672,4,Low,Rural,260,423,5,8,3757841.75
C0179,2207,4,Medium,Urban,277,210,5,4,1412583.32
C0180,6291,3,Medium,Urban,244,385,5,9,5632329.71
C0181,6035,4,High,Rural,296,430,4,10,5027072.18
C0182,5431,5,Medium,Urban,178,340,7,15,4033857.55
C0183,4010,4,High,Rural,294,305,9,18,2922424.12
C0184,702,5,High,Urban,222,452,4,23,780132.98
C0185,4718,2,Medium,Urban,170,248,2,12,2692175.77
C0186,9458,5,High,Suburban,209,462,2,6,9530135.2
C0187,4889,1,High,Suburban,247,404,2,23,4994704.8
C0188,2827,1,Medium,Suburban,224,250,7,15,1707743.09
C0189,8504,1,Medium,Suburban,268,374,4,19,6809833.93
C0190,3431,3,Medium,Rural,297,424,4,10,2741450.42
C0191,8277,3,Medium,Urban,262,460,1,10,7623356.69
C0192,697,3,Low,Suburban,263,421,4,9,513153.93
C0193,7625,5,Medium,Urban,252,422,6,3,7004939.71
C0194,2430,3,Medium,Suburban,229,468,2,17,2103071.62
C0195,6787,2,Medium,Urban,212,497,4,17,6765000.02
C0196,9300,1,Low,Urban,206,273,7,21,6669677.35
C0197,9839,5,High,Suburban,178,313,9,6,7784836.56
C0198,4782,1,High,Urban,278,418,2,8,5377013.54
C0199,3011,3,Low,Urban,273,253,8,12,2201191.33
C0200,1159,5,Medium,Suburban,208,399,6,14,909528.84
C0201,3311,4,Medium,Suburban,235,330,8,6,2418539.34
C0202,7598,2,High,Rural,220,391,2,8,5821650.27
C0203,7046,3,Low,Suburban,238,378,1,16,4531560.39
C0204,2486,3,Medium,Urban,247,486,7,15,2521031.84
C0205,8838,2,High,Suburban,193,439,9,23,8543967.05
C0206,3411,2,High,Urban,265,444,9,5,3854640.16
C0207,2234,4,High,Suburban,224,316,2,23,1577414.66
C0208,2343,3,High,Rural,292,407,4,17,2043679.68
C0209,9180,3,Low,Suburban,172,411,1,5,5696883.68
C0210,3476,1,Medium,Suburban,194,458,7,7,3025237.06
C0211,2459,5,Medium,Urban,241,362,2,15,2172060.57
C0212,6259,5,Low,Suburban,162,425,4,17,4602978.96
C0213,7194,1,High,Rural,183,263,2,19,3748153.0
C0214,2885,5,Low,Urban,219,445,1,8,2397723.61
C0215,5236,2,Medium,Urban,257,217,7,20,3425334.08
C0216,2302,5,High,Suburban,282,233,6,5,1921235.74
C0217,8655,5,Low,Suburban,275,380,2,11,6506366.11
C0218,8620,1,High,Urban,170,393,4,10,7973516.96
C0219,7116,4,High,Rural,280,391,3,22,5882493.77
C0220,6034,5,Medium,Urban,172,266,3,13,3698064.14
C0221,4561,5,Low,Urban,168,408,3,13,3356215.12
C0222,762,4,Medium,Suburban,199,366,4,10,562575.6
C0223,6787,1,Medium,Urban,169,445,1,3,5607171.05
C0224,9315,4,Medium,Suburban,265,444,1,4,8558958.45
C0225,9708,1,Medium,Urban,241,365,7,22,8723928.81
C0226,2549,2,High,Urban,242,495,5,6,2791534.0
C0227,5923,1,Low,Urban,232,410,3,4,4945270.82
C0228,5048,2,High,Rural,202,332,9,4,3902417.62
C0229,3608,2,Low,Suburban,272,396,5,15,2774519.88
C0230,7658,1,Medium,Suburban,234,248,10,23,5698489.84
C0231,7900,3,High,Urban,231,263,3,22,6149896.16
C0232,3670,1,Medium,Suburban,158,311,9,8,2527849.95
C0233,2755,5,Low,Suburban,153,384,1,6,1789690.37
C0234,1654,5,Medium,Rural,174,303,9,17,971617.26
C0235,4999,3,High,Suburban,183,412,5,5,4844810.36
C0236,6795,2,Medium,Suburban,222,204,6,6,3538040.21
C0237,6697,3,Medium,Urban,286,318,2,19,5205694.08
C0238,2148,5,Medium,Suburban,231,448,8,8,2015815.85
C0239,6039,3,High,Suburban,290,366,3,4,6175696.99
C0240,4699,1,High,Rural,286,441,1,22,4185361.75
C0241,8945,3,Medium,Urban,153,479,7,15,7971293.59
C0242,3057,2,High,Urban,156,437,3,17,2676116.83
C0243,6092,1,Medium,Suburban,164,404,4,7,4824558.22
C0244,598,4,Medium,Urban,187,200,5,21,338815.19
C0245,2700,5,Low,Urban,240,370,1,8,2067039.74
C0246,3461,5,Medium,Rural,201,366,9,19,2434229.04
C0247,5473,3,Medium,Suburban,230,457,7,3,4887472.38
C0248,4933,1,Low,Rural,249,262,2,4,2187896.13
C0249,3369,4,Medium,Rural,156,471,1,3,2286237.05
C0250,1456,1,High,Urban,256,236,2,10,1030739.92
C0251,8852,5,Medium,Suburban,194,215,3,6,4261146.57
C0252,6199,1,Medium,Urban,208,453,3,20,5477658.63
C0253,7444,4,High,Rural,271,226,8,11,4651213.55
C0254,4993,3,Low,Suburban,170,310,5,17,2749796.3
C0255,9992,2,Medium,Urban,152,432,9,18,9528334.84
C0256,5411,1,High,Urban,291,263,3,23,5217566.17
C0257,4487,2,Medium,Suburban,151,296,6,5,2554800.99
C0258,6515,5,Medium,Urban,178,466,4,3,6318503.25
C0259,1718,3,Low,Urban,295,431,8,15,1577939.99
C0260,4996,3,High,Suburban,186,247,1,16,2802734.77
C0261,5235,1,Medium,Rural,194,409,4,8,3385353.69
C0262,5055,3,High,Urban,269,275,7,7,5172231.67
C0263,9646,1,Medium,Suburban,195,446,9,7,9621629.07
C0264,8550,1,Medium,Rural,289,267,1,6,4427822.41
C0265,3946,2,High,Urban,202,263,8,23,3026487.84
C0266,1545,3,Medium,Rural,194,381,2,14,996221.47
C0267,7393,1,Medium,Urban,181,279,4,16,4509483.25
C0268,2193,2,Medium,Suburban,167,402,4,16,1709827.89
C0269,3936,4,High,Suburban,162,381,8,13,3068774.93
C0270,9254,2,Medium,Suburban,281,413,2,12,8294686.09
C0271,6395,2,Medium,Rural,172,319,7,12,3539914.98
C0272,3854,1,Low,Urban,211,440,3,11,3172895.56
C0273,725,5,High,Urban,203,401,9,4,826113.19
C0274,5393,5,Low,Suburban,218,491,5,16,4238645.81
C0275,7522,5,Medium,Rural,163,253,8,9,3505356.32
C0276,9651,2,Medium,Urban,247,344,5,19,8192451.99
C0277,6100,1,Medium,Rural,177,285,1,22,2631771.02
C0278,8496,3,Medium,Urban,244,221,9,10,5643595.29
C0279,9507,2,Low,Urban,220,491,10,22,9109942.64
C0280,8183,2,Medium,Suburban,216,435,7,6,6967678.19
C0281,5142,1,High,Urban,249,228,4,7,4343800.81
C0282,8179,4,High,Suburban,210,382,7,15,7552767.5
C0283,8708,2,Low,Urban,252,359,5,9,7037628.5
C0284,7839,4,High,Urban,286,217,10,8,7391261.68
C0285,9935,4,Medium,Suburban,268,237,9,19,7427522.33
C0286,2705,5,High,Suburban,166,300,2,8,1803559.19
C0287,1569,1,Medium,Suburban,198,489,4,21,1363482.8
C0288,3944,4,Medium,Suburban,227,372,6,5,3093419.38
C0289,1560,1,High,Urban,195,266,5,11,1081648.67
C0290,2827,5,High,Suburban,242,390,1,23,2706074.6
C0291,3920,1,Medium,Rural,270,242,9,17,2470949.91
C0292,801,2,Medium,Rural,162,322,9,10,464064.69
C0293,1106,4,Medium,Urban,194,477,3,17,1016801.32
C0294,3670,1,Medium,Urban,166,395,4,3,2983534.52
C0295,1199,3,Medium,Rural,196,324,4,10,664636.91
C0296,5588,1,Medium,Suburban,211,295,10,6,3919945.47
C0297,9831,4,High,Suburban,192,356,8,12,8246715.66
C0298,690,5,Low,Suburban,217,239,6,18,416668.88
C0299,1480,5,Medium,Urban,273,372,2,20,1345833.61
C0300,3475,4,Low,Suburban,258,372,4,6,2341486.03
C0301,6602,2,Medium,Rural,177,319,1,10,3192186.96
C0302,1684,2,Low,Suburban,243,472,3,6,1358992.76
C0303,3827,5,Medium,Urban,267,460,4,12,4130025.29
C0304,3894,5,High,Urban,240,480,8,22,5073981.65
C0305,8819,4,High,Urban,233,323,3,6,7740456.51
C0306,2316,2,Medium,Suburban,182,477,5,18,2214657.45
C0307,6354,5,Medium,Urban,174,292,1,14,4283430.81
C0308,7209,2,Medium,Urban,168,234,4,12,4434008.11
C0309,1069,5,High,Rural,255,327,2,13,705834.6
C0310,5942,1,High,Urban,182,219,4,4,3806773.3
C0311,2395,3,Medium,Urban,216,460,5,18,2312715.9
C0312,3233,1,Medium,Urban,291,366,3,21,2936508.6
C0313,4363,5,High,Urban,191,435,6,14,4945657.02
C0314,7955,3,Low,Suburban,244,231,2,6,4105849.45
C0315,4514,3,Medium,Rural,196,430,5,19,3263243.38
C0316,2186,5,High,Rural,184,390,4,14,1528819.16
C0317,3509,5,High,Suburban,266,344,5,18,3075023.58
C0318,8306,2,Medium,Suburban,225,300,9,5,6260123.03
C0319,654,5,Medium,Suburban,291,278,6,4,473587.08
C0320,1909,4,Medium,Urban,295,359,7,9,1731497.32
C0321,1284,5,Medium,Urban,277,454,8,8,1534395.52
C0322,8596,4,Medium,Rural,204,478,9,3,7121552.75
C0323,8060,5,Medium,Urban,247,387,5,17,6981980.0
C0324,7843,2,High,Urban,257,409,8,14,9892766.21
C0325,7706,4,High,Suburban,198,440,2,15,6361749.35
C0326,6096,1,Low,Suburban,262,255,10,10,4021438.21
C0327,6301,4,Medium,Urban,283,336,9,11,5493932.22
C0328,3306,2,Medium,Urban,219,305,2,3,2208027.0
C0329,1037,4,Medium,Urban,235,268,5,7,708918.93
C0330,6486,5,Medium,Suburban,285,389,6,9,6292049.61
C0331,2341,5,Medium,Urban,292,391,4,20,2504162.66
C0332,9216,2,High,Suburban,188,477,8,10,10493305.22
C0333,7471,3,Medium,Suburban,280,231,10,12,5693088.62
C0334,6125,5,High,Rural,159,374,3,10,4066636.41
C0335,3450,1,High,Urban,152,457,5,14,3482555.36
C0336,8492,2,Low,Urban,195,322,2,18,5394294.86
C0337,5280,4,Medium,Suburban,299,284,3,14,4099893.0
C0338,2868,4,High,Suburban,216,415,8,5,3159613.03
C0339,7155,1,High,Urban,246,415,5,20,7068336.19
C0340,8673,5,Low,Suburban,168,213,3,7,3709681.45
C0341,4995,2,Low,Urban,211,236,5,16,2847078.56
C0342,9663,1,Low,Urban,247,226,9,22,6360975.04
C0343,6502,5,High,Suburban,206,351,3,23,5412462.51
C0344,7114,2,Low,Urban,244,263,10,18,5208075.33
C0345,9858,4,Medium,Rural,256,269,7,8,5278790.91
C0346,6419,2,High,Suburban,237,353,8,18,5933813.71
C0347,1353,3,Low,Suburban,290,452,5,22,1243770.53
C0348,4646,2,Medium,Suburban,293,470,3,16,4551073.48
C0349,4269,3,Medium,Suburban,293,228,6,22,3238458.02
C0350,1074,2,High,Urban,264,273,3,7,898415.59
C0351,1648,3,Medium,Rural,268,483,9,16,1304869.87
C0352,6793,4,Medium,Rural,201,258,2,13,3072172.24
C0353,6957,5,Medium,Urban,190,442,3,23,5703765.11
C0354,8009,3,Medium,Urban,197,348,7,11,6240196.16
C0355,5277,3,Low,Urban,240,209,10,22,3317788.82
C0356,4354,4,Medium,Suburban,188,331,8,9,3283812.98
C0357,2991,3,Medium,Suburban,162,261,5,7,1624753.33
C0358,3624,1,High,Rural,281,461,5,17,3583283.38
C0359,6191,4,High,Suburban,245,417,5,15,5950402.09
C0360,3551,1,Medium,Suburban,258,431,4,14,2965103.62
C0361,504,4,Medium,Suburban,253,271,9,17,352103.67
C0362,5722,3,Medium,Suburban,247,215,6,21,3893939.44
C0363,5815,1,High,Suburban,192,237,8,21,3942984.7
C0364,5369,3,Medium,Suburban,237,376,8,12,4530021.82
C0365,1376,4,Medium,Suburban,242,282,5,19,876939.25
C0366,9683,3,Medium,Suburban,275,216,9,18,7105034.27
C0367,7527,1,Medium,Suburban,258,355,2,7,6032364.82
C0368,4642,1,Medium,Suburban,196,371,8,6,3602484.64
C0369,7466,3,Medium,Suburban,241,269,3,12,5071008.03
C0370,7579,2,Low,Suburban,190,270,7,23,4255973.62
C0371,8487,4,High,Suburban,152,454,9,8,7632340.47
C0372,7299,4,Medium,Suburban,270,330,5,13,6106556.77
C0373,4965,3,Low,Suburban,226,248,8,13,3282346.51
C0374,1135,2,Medium,Urban,244,220,4,18,773044.64
C0375,2193,1,Medium,Urban,162,419,1,16,1638796.85
C0376,5252,5,Medium,Suburban,254,386,1,21,3957595.02
C0377,8811,5,Medium,Suburban,167,231,6,6,5160118.93
C0378,1330,3,Medium,Rural,186,402,8,7,862761.95
C0379,5677,2,Medium,Urban,204,475,10,21,6433324.46
C0380,9432,2,Medium,Urban,201,441,2,19,8550380.3
C0381,8808,4,Low,Urban,185,215,4,20,4650632.42
C0382,6449,1,High,Urban,263,372,3,10,6095913.71
C0383,3338,2,Medium,Suburban,201,336,9,6,2321019.97
C0384,1650,5,Medium,Urban,168,378,3,20,1257684.7
C0385,8060,1,Low,Suburban,289,260,8,13,6197473.95
C0386,2431,1,Medium,Suburban,241,303,7,16,1713207.47
C0387,9704,3,Medium,Suburban,288,394,1,15,8228328.46
C0388,2164,2,Medium,Rural,197,455,8,18,1675717.6
C0389,1581,3,High,Suburban,250,275,9,14,1342319.27
C0390,1012,2,Low,Urban,248,470,8,11,1012852.11
C0391,8305,4,Medium,Rural,293,380,10,9,6854158.46
C0392,5737,3,High,Rural,196,331,10,12,4338651.59
C0393,1059,3,High,Urban,216,350,1,19,886495.34
C0394,4172,5,Low,Urban,180,354,7,20,3291069.97
C0395,7904,3,Medium,Urban,225,434,9,9,8088626.97
C0396,3843,2,Medium,Urban,157,447,5,5,3479458.22
C0397,4570,5,Low,Rural,193,364,2,17,2195076.2
C0398,1080,3,Medium,Suburban,184,404,8,18,890001.44
C0399,7504,3,Low,Urban,163,364,9,23,5057790.77
C0400,8630,4,High,Rural,259,412,7,19,7264747.85
C0401,3647,3,Medium,Suburban,153,453,5,15,2679511.58
C0402,4749,1,Low,Urban,294,356,8,5,4638052.21
C0403,2179,5,Low,Rural,261,376,6,22,1447482.45
C0404,4006,1,High,Rural,218,274,4,22,2534498.33
C0405,7753,5,Low,Rural,198,377,1,7,4065967.22
C0406,3244,4,Medium,Suburban,204,483,6,11,3232799.56
C0407,9935,3,Medium,Suburban,230,332,8,20,8421659.22
C0408,5688,3,Medium,Urban,289,324,3,13,4738945.4
C0409,2641,3,Medium,Suburban,288,326,7,13,2181709.01
C0410,7117,5,Low,Rural,264,424,7,18,5032084.84
C0411,2979,3,Medium,Urban,224,216,9,10,1854725.0
C0412,6984,1,Low,Suburban,247,445,1,4,5960210.42
C0413,7921,3,Medium,Suburban,276,336,5,23,6270505.94
C0414,4952,4,Medium,Urban,260,416,8,12,5095881.52
C0415,6381,1,Medium,Suburban,250,395,3,8,5547819.65
C0416,7165,3,Low,Urban,263,400,5,6,6016582.21
C0417,3349,3,Medium,Suburban,178,406,1,23,2269823.63
C0418,7890,2,Medium,Urban,211,215,9,7,4845228.72
C0419,7405,5,High,Rural,202,212,4,13,3745660.76
C0420,2989,1,Medium,Urban,266,277,5,14,2123563.18
C0421,9707,2,Medium,Urban,240,413,3,18,9240719.13
C0422,5111,4,Medium,Urban,255,318,2,22,3989340.37
C0423,3339,5,High,Rural,235,380,7,23,2650356.2
C0424,9027,1,High,Suburban,277,336,5,16,7973124.34
C0425,6378,3,Medium,Suburban,249,378,10,16,5432908.34
C0426,9587,1,Medium,Suburban,243,407,3,22,8312272.96
C0427,6803,3,Medium,Suburban,225,253,2,22,3854989.51
C0428,1351,5,Medium,Urban,152,278,10,17,971739.75
C0429,2187,3,High,Suburban,230,470,6,10,2217862.5
C0430,7333,4,Medium,Urban,254,317,10,7,6781907.17
C0431,2927,3,Low,Rural,181,305,6,11,1475161.87
C0432,4500,4,High,Suburban,157,304,3,23,3026997.73
C0433,5552,5,High,Suburban,236,317,9,18,5476442.04
C0434,3238,5,Medium,Urban,179,428,1,5,2580592.01
C0435,6232,1,Medium,Suburban,292,347,3,14,5499203.9
C0436,5887,4,Medium,Urban,223,349,1,9,4233887.0
C0437,8502,4,High,Urban,272,455,7,19,10225313.64
C0438,6036,2,High,Urban,270,281,2,17,4820315.51
C0439,4413,2,Medium,Suburban,187,215,4,17,2366343.66
C0440,1566,2,Medium,Suburban,292,392,4,14,1438476.69
C0441,8223,3,High,Urban,264,410,8,23,9553927.63
C0442,4880,2,Medium,Urban,258,273,4,4,3856789.42
C0443,4607,4,Medium,Suburban,227,476,3,10,4459428.0
C0444,6226,3,High,Suburban,185,260,10,7,4824295.39
C0445,3873,5,Medium,Urban,239,223,3,5,2374268.83
C0446,9445,1,Medium,Urban,189,222,5,3,5434047.21
C0447,2582,2,High,Rural,223,457,6,18,2159285.78
C0448,9467,5,High,Rural,195,397,7,12,6761875.74
C0449,7248,4,Medium,Rural,256,252,5,12,3898400.9
C0450,917,1,Medium,Rural,295,338,7,13,620786.6
C0451,8806,5,Medium,Urban,249,470,4,14,9921114.74
C0452,9308,1,Medium,Urban,210,400,5,10,8711320.88
C0453,4474,2,Low,Urban,152,363,6,7,3319698.53
